class,hash,time,token,type,from,to,USDAmount,priority,fee
TRANSFER,0x7024fd42d52fc8219c2e041b93e9890201ab003e018a7e420377e251e43558c1,1737008249255,USDC,Transfer,0x7116f357eec91d67bdacc10bbf1a9488f3ea241a,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0xb59a2178e68e61c49664041b93ca4302021300f4b6bc24de0e477a921f349778,1737007733102,USDC,Transfer,0x7116f357eec91d67bdacc10bbf1a9488f3ea241a,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x544e7b0fe556d493aa7d041b9344c902010f0055ba1200647c2fe20e19d0b013,1737005566312,USDC,Transfer,0x7116f357eec91d67bdacc10bbf1a9488f3ea241a,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x1fef20fd0a11bc653703041b933623019f00bc803ed352b2f0a324462dcb76b8,1737005329084,USDC,Transfer,0x7116f357eec91d67bdacc10bbf1a9488f3ea241a,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x4795bb60c681abc1bdeb041b9323e70197008d1c586b55bb0143f6d55ec20c81,1737005033137,USDC,Transfer,0x7116f357eec91d67bdacc10bbf1a9488f3ea241a,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0xa196a0a5f98cef423607041b93096402015e008b57492ce41ddd6e04a99a1503,1737004601143,USDC,Transfer,0x7116f357eec91d67bdacc10bbf1a9488f3ea241a,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
FAILED,0x073a78175cc9961342c0041b930556020100009749e1ac674e10cd845f33efeb,1737004535563,-,spotSend,0xaf297dec752c909092a117a932a8ca4aaaff9795,Invalid input number,-,-1,0
FAILED,0x18bd06125973dc40a17d041b92f2d001d900e30fee58c5ce399d454c023b8f14,1737004233677,-,spotSend,0xaf297dec752c909092a117a932a8ca4aaaff9795,Invalid input number,-,-1,0
FAILED,0x33b8d50fa5de6eca24c1041b92e18701a9003611f565ca039b8925643ff05664,1737003953189,-,spotSend,0xaf297dec752c909092a117a932a8ca4aaaff9795,Invalid input number,-,-1,0
VALIDATING,0xd5ba497760b554dc94e9041a94535201cd001d62f30515da4010682ee1a47032,1735934684066,-,tokenDelegate,0xaf297dec752c909092a117a932a8ca4aaaff9795,-,-,-1,0
VALIDATING,0x021160432562b58bb361041a944fd501fd002797aa707da436d5ea43dcfcfe31,1735934627941,-,tokenDelegate,0xaf297dec752c909092a117a932a8ca4aaaff9795,-,-,-1,0
VALIDATING,0x8ed24244ccae43f680e2041a944d6d0201660080e32a9bfefa501eb42c3035f7,1735934589038,-,tokenDelegate,0xaf297dec752c909092a117a932a8ca4aaaff9795,-,-,-1,0
VALIDATING,0x2e984f29fef2f7bb3e80041a942a7b01470025e7368dade9fcd5941ee5428888,1735934019578,-,tokenDelegate,0xaf297dec752c909092a117a932a8ca4aaaff9795,-,-,-1,0
VALIDATING,0x462915c57c4bfa8e1369041a9427e101830048e72aa93992a3483e6b7c9f4dd0,1735933976236,-,tokenDelegate,0xaf297dec752c909092a117a932a8ca4aaaff9795,-,-,-1,0
FAILED,0xc68ba19bc14bb092e5a7041a3628520169002f6d45936f4a3c1e620fdc0b3a7c,1735496878524,-,twapOrder,0xaf297dec752c909092a117a932a8ca4aaaff9795,TWAP order value too large. Max is $2000000.,-,-1,0
FAILED,0x4d0c2123a5cb01fdb253041a36277d013e003f9feb054152d17989985cb5b25f,1735496859231,-,twapOrder,0xaf297dec752c909092a117a932a8ca4aaaff9795,TWAP order value too large. Max is $2000000.,-,-1,0
FAILED,0xe0c47df5078b32b43953041a361b7c019f0076f9ebd7c62d82d29bb31ea9d480,1735496583864,-,twapOrder,0xaf297dec752c909092a117a932a8ca4aaaff9795,TWAP order value too large. Max is $2000000.,-,-1,0
TRANSFER,0x888767e47e8554b7766a041a3618c801b300d00dc78ebcae8117fa4754fb6360,1735496521974,USDC,InternalTransfer,PERP,SPOT,2962503.36,0,0
DEPOSIT,0xbeb3187a40f9ed18f2bab927595ae1036c037f9fc4b8ed79f4a79a54ce76d887,1735496507893,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,2962503.36,0,0
FAILED,0x5000a6e9c0ff9ef3feb3041a361831010200d1d0de1a5310323a5d9ed1141857,1735496507893,-,VoteEthDepositAction,0xaf297dec752c909092a117a932a8ca4aaaff9795,Deposit has already been credited.,-,-1,0
TRANSFER,0xa4ca31097ccffc2d30fd041a35d7420201f2008603d01062e9209883a7b5ed5d,1735495021937,USDC,InternalTransfer,PERP,SPOT,254769.21,0,0
TRANSFER,0x80cb92347eb1db43ca03041a35d41c01a70065f268092e4572d30b7f39104a51,1735494949081,USDC,InternalTransfer,0x27567c705a6d2b41f62990c8177a31be99b21e1a,0xaf297dec752c909092a117a932a8ca4aaaff9795,116779.702943,0,0
SPOT,0xb77b2321f348edf7d89c041a35c618020280006b101e272a66f32c297c04413c,1735494628220,VAPOR,Buy,0xffffffffffffffffffffffffffffffffffffffff,0xaf297dec752c909092a117a932a8ca4aaaff9795,9290.470662,0,0
TRANSFER,0x3b89499406e6b757570a041a35c584011f0004ead780b36e439c3b2877a5be19,1735494615077,USDC,InternalTransfer,PERP,SPOT,12000,0,0
TRANSFER,0x38e05d4010dd731ac37f041a35ac6b018a000ffa1914205759d02c53e79567fa,1735494039656,USDC,InternalTransfer,0x27567c705a6d2b41f62990c8177a31be99b21e1a,0xaf297dec752c909092a117a932a8ca4aaaff9795,116648.227833,0,0
TRANSFER,0x9d91ab2b41129a59d4c6041a35a47a01b900862585662453eab66a639665583b,1735493856995,USDC,InternalTransfer,0x27567c705a6d2b41f62990c8177a31be99b21e1a,0xaf297dec752c909092a117a932a8ca4aaaff9795,33341.278157,0,0
