class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
FAILED,0xd351e12cf5d1be1bd82f0419d4c41b010200f1d0f16baa4d422692339ff4a63e,1734914622574,-,VoteEthDepositAction,,0x99967871e6c4f9a5185abc57edede9e9540191f6,Deposit has already been credited.,0,-,-1
DEPOSIT,0x1da1d0f06bab9d09ef2796c36802a4de4bff341153b0b17954dea6fc6abbf063,1734914622574,USDC,Deposit,286454.74,Arbitrum,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,286454.74,0
SPOT,0x4a951a88878d5a627ae7041960ceb701a200f2a57689e24ceae0471bbf6c05d0,1734356661157,VAULT,Genesis,553.71436189,0x0000000000000000000000000000000000000000,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,-,0
SPOT,0x43aebbc7b73dd7d5ee0504189d6ab001bb009513b2edf49a0b63ca35e445e07d,1733544017646,HYPE,Buy,1677.4499999999998,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,6433.264,0
SPOT,0xdc992ca86963923e0a6904189d69b3016c0077524602e33acde3defdbed461ed,1733543999830,HYPE,order,1776.82,0x99967871e6c4f9a5185abc57edede9e9540191f6,limit,0,26272.06052,-1
SPOT,0x7f7867f5b92cd24ea27504189d620d016100b3cc4a0b25105f6f2b407f847b01,1733543875770,HYPE,order,1248.42,0x99967871e6c4f9a5185abc57edede9e9540191f6,limit,0,18390.47502,-1
SPOT,0x011d8a73556f9d5ed79b04189d4d4501a600d505af98da599a98a9df6d9d143e,1733543540740,MUNCH,Sell,-58050,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-15.656665499999999,0
SPOT,0xb7a05b261ce6a204e0db04189d4c3d016c00c886ce1305b162c2352c6891c41a,1733543524105,HYPE,order,1341.57,0x99967871e6c4f9a5185abc57edede9e9540191f6,limit,0,18379.509,-1
SPOT,0xc2c9c5f663a91f225c84041895d06101a300bfb2cb18dc458824ff8aa2d61b33,1733512493596,HYPE,Buy,12.31,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,166.71433,0
SPOT,0x9b330d28ba60f6b070e7041895ceef01c7006d7cb6a08aed2e7285411fb51b8d,1733512470307,HYPE,Buy,8.04,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,108.88571999999998,0
SPOT,0x8a2d57ab72321c45c865041895cee7020121005e5669fdd51a2e943366322fc1,1733512469945,HYPE,Buy,23.06,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,312.30157999999994,0
SPOT,0x819fab2d167ec86a241d041895ce4201bd00f09fc2b71077f55212cb5854dc16,1733512459616,HYPE,Buy,66.52,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,900.8803599999999,0
SPOT,0x8e8abe9a73c31a43f224041895ce3f020166001182540cb401348e70c5e934d7,1733512459414,HYPE,Buy,13.01,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,176.19442999999998,0
SPOT,0xbef30f7c09ffd702d745041895ce3a01c100680c317fd72bcbd68872060e008e,1733512459072,HYPE,Buy,301.37,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,4081.4539099999997,0
SPOT,0xfc6e16410c4fc0f90cfc041895cd9d01ad00530bc974a4a6d47331f2c2d02428,1733512449129,HYPE,Buy,2,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,27.086,0
SPOT,0x9f95e07c1ac8a75c8449041895cd99019300777759b05349333520264cfbf2c6,1733512448906,HYPE,Buy,12.77,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,172.94411,0
