timestamp,source,total_amount
1736899200012,delegation,14397.98883018
1736812800075,delegation,14468.50357745
1736726400073,delegation,14577.17074395
1736640000194,delegation,14604.78855849
1736553600118,delegation,14620.82704716
1736467200033,delegation,14640.59098138
1736380800021,delegation,14639.19091857
1736294400045,delegation,14670.88593047
1736208000104,delegation,14699.50931138
1736121600051,delegation,14739.65706533
1736035200051,delegation,14789.35320764
1735948800067,delegation,14932.19359479
1735862400016,delegation,15000.43749204
1735776000035,delegation,15180.28481928
1735689600054,delegation,15472.13288736
1735603200090,delegation,16029.88582686
1735516800793,delegation,17042.45612026
1735430400072,delegation,9339.38450835
