wallet,time,action_type,from,to,token,amount,hash
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x07d205d27bf97e7ebc59042712536802024400e100d2f14f245295ce33aa592a
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xb26e173e7eadfb1c33fd042712535c020349008e886fc3d9cb4f811d8b102276
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x910c1bed018a455712f0042712534f02026800af1c0cb59eac969a24017e3dcd
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xf9af7b2612ca3e01f7ee04271253410201d00073bc4a1dc38898293ce09fa289
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x691d0aaf38c07c5a3edb04271253320201260029088477ad69837711e5049af6
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x97bafa34c327735c45ca042712532302014a009a8f6af7dd662274d066f36150
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x2f28db0f4c96b8f6c3e5042712531502031800a9789cae0af4a22d9960f18d07
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xde3474847239b410ce86042712530601a6006deb37726603aae4de004d5a4d77
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x781b1024dda1670a92e404271252f9019500d2ea577c3e5f83b8166b4efec0b4
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x4cd768986e23ecd03d9404271252ee0162006f3cba2a10c28fcaaf4401ef1ec9
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x2e0442c8d663d988638304271252e101af00845045505999785a883208c0c7df
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xd79fb0b9ccfcf8cb890d04271252d5014f00163601aae5d37105d6a5bcedeef4
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x6b22153389e20f5ca89604271252c802019d0071e7cb08dc9524856e7cd34e28
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x0c2aab971426f576627904271252bb020195009a5649cd41bbf1d3617b9b5963
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xbd036af2eaf77d3725b604271252b1020218001074ea99a82b628aa59deaac21
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x181cae13dc658b24bafe04271252a5019e002e71b9e9b363552babce7cde6328
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xc249f142c41f1e00616f042712529802019b00be704df458820da8c6315126a7
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},0.33,0x81ae1c82df7ef4d6da39042710f51b0205dd007ab3927561e00f048481b3a55a
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},0.94,0x7b636ad0e5c28a9dc156042710f51b0205dc001f96543c23abe9b2f1abf68482
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},0.31,0xcda8bb5febe593f58c3f042710f5180203ba0054b847a0722b1418f4ca494b41
