timestamp,hash,type,token,amount,isDeposit,usdcValue,user,destination,fee,nativeTokenFee,nonce
2025-04-28T18:50:50.045000,0x4d3372d437cf7917dfad04226e006e01b600a8c29d49b0bf25fcaefab1ebcb82,spotTransfer,HYPE,1330237.81783133,,23134151.6669999994,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-04-15T02:44:14.038000,0x50d4a61b154c56e5bac0042190fead0105005a77271d5e7b8cec2057c633dac3,spotTransfer,HYPE,774005.0096757,,12416588.3652059995,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-04-10T20:26:06,0x86ea455ffec6be01e30304214b862501e200af844cce14525ca081fdc1ee3cc8,spotTransfer,HYPE,955697.1925246899,,13655001.4867819995,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-04-06T20:26:38.052000,0xb41a72c0d0bacb8100650421097ca00190003ae6926cbc65873c7815a9a49559,spotTransfer,HYPE,1061388.96939481,,11308038.0799230002,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-03-27T03:07:42.089000,0x2308f261f84df1be55b5042058a84b01060032ab8dc44483cbdea7a943c9b6be,spotTransfer,HYPE,540218.03015445,,8025479.0559670003,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-03-25T01:08:46.071000,0x784332fd08d1312549d7042036208501a8008fa8316701b96cb9b97cab5318d6,spotTransfer,HYPE,788253.89900009,,13312820.1002110001,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-03-17T15:42:42.002000,0x4755aacbe3f9ec0e7684041fbcb5ae014d00fd42baf7c988e9c364b8369f6b27,spotTransfer,HYPE,312824.017952,,4261914.4205780001,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-03-12T05:17:36.010000,0xa330eb57ee7bbf1f99a3041f62f02c020130003b01fef840d2b9eba0761eda46,spotTransfer,HYPE,179178.51223445,,2417476.487061,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-03-09T16:29:28.305000,0xaadf20965ff628d6eb4a041f38cef201010075d094eb6c0a2b5a78cf495c43b9,spotTransfer,HYPE,168616.68213992,,2527901.2986269998,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-03-09T16:28:58.127000,0x75f9f05f14bba47bdd2f041f38cd960204430048d340bc42e824cc012388106f,spotTransfer,HYPE,0.99965009,,14.982755,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0x2222222222222222222222222222222222222222,0.0,0.0,
2025-03-09T16:28:39.995000,0x4359475d66af2921f463041f38ccb202014100041b6e367b4b4b3a010df6774b,accountClassTransfer,,,,,,,,,
2025-03-08T02:38:54.011000,0x0c0a25b49cc698bd90da041f1ef1e2016700cb3db551824e74d849231f1e2f05,spotTransfer,HYPE,151275.48345,,2336298.5664010001,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-03-07T00:19:00.005000,0xce889c753e6b535d3a6a041f0cd8350203ee00aaf7d5dfe6801262b0674067bf,spotTransfer,HYPE,76206.65712164,,1165657.0273219999,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-03-06T03:58:00.112000,0x18d338eedd3f158a07e3041efee8190203b5006d3afa65c02a3b653794409c7e,spotTransfer,HYPE,49090.0812733,,844103.947489,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-03-05T04:19:00.008000,0x5c174fd16861277de70d041eeea249016700f90cf502359c045741baf65c3099,spotTransfer,HYPE,111630.56110755,,1909329.117174,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-03-03T01:55:34.014000,0xf5e193718907f6649bd8041ecc7fff010a00101fc1d787d3588f34e29b6b70d1,spotTransfer,HYPE,20172.04755938,,412316.652105,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-03-01T21:22:08.123000,0x9dd2c9c98a3061c8f2e1041eb8e090010e00ab0d793d73f45339dc9ba1507727,spotTransfer,HYPE,40433.86836266,,780656.696465,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
