Date,CEX,DEX
2025-01-03,80721197025.36,7530378682.76
2025-01-04,86454186748.87,6752105006.62
2025-01-05,55960507595.27,5192406165.98
2025-01-06,60874145181.99,5901356463.61
2025-01-07,86470095627.96,7287366648.51
2025-01-08,140666582785.99,14067739930.12
2025-01-09,113715295690.21,11815278057.87
2025-01-10,101655834410.95,11175646445.69
2025-01-11,97680776031.69,8597845604.75
2025-01-12,43620398791.03,3835921754.17
2025-01-13,62741041998.67,7045341289.37
2025-01-14,133989610118.24,11767472106.38
2025-01-15,93857237560.41,7750476081.19
2025-01-16,117330688074.78,10216032056.04
2025-01-17,113032632161.39,10535070179.87
2025-01-18,150119776511.77,20815079163.66
2025-01-19,134511955000.86,30600775970.76
2025-01-20,255531933788.97,47597734632.15
2025-01-21,221394237283.72,28229741277.24
2025-01-22,146643935235.04,15242286578.34
2025-01-23,112881189378.09,13337644163.58
2025-01-24,166546207299.34,12711619561.86
2025-01-25,100495719021.42,10055311860.81
2025-01-26,59213487556.08,6389715505.51
2025-01-27,110634050993.53,13849158671.15
2025-01-28,153114910626.98,14018766299.64
2025-01-29,82702137106.91,11084399706.16
2025-01-30,107283970340.25,13766227025.66
2025-01-31,73759025074.89,8773767278.22
2025-02-01,92430451046.91,12234777457.47
2025-02-02,80620084183.35,10797078875.97
2025-02-03,236898168519.37,28043254153.91
2025-02-04,183681357614.87,20244741086.2
2025-02-05,144383811334.97,14925539756.3
2025-02-06,96244901234.13,9733154422.89
2025-02-07,90012567628.7,10406679000.76
2025-02-08,92698617854.61,10397611161.45
2025-02-09,51690071211.81,6593014257.23
2025-02-10,69900698618.77,10410989296.65
2025-02-11,64415569004.58,8460172883.63
2025-02-12,71795455628.86,9747273089.89
2025-02-13,102207427631.24,13707502777.78
2025-02-14,71018630709.73,9919375032.55
2025-02-15,70658358529.92,11617189316.66
2025-02-16,39082623789.08,4614214884.87
2025-02-17,45711177334.32,7225911723.67
2025-02-18,70657624543.47,10423252872.99
2025-02-19,88484142732.16,9937992765.82
2025-02-20,61712382715.38,7609071123.08
2025-02-21,71959960351.13,8545471489.78
2025-02-22,115274762707.4,15513135274.33
2025-02-23,45252690765.54,5389031869.65
2025-02-24,50577348912.7,8784845945.32
2025-02-25,116209840874.25,20028379195.82
2025-02-26,125148331550.78,12425101039.53
2025-02-27,119284257786.79,14425246462.41
2025-02-28,114204047776.01,16597419394.39
2025-03-01,107111520398.37,10518510831.12
2025-03-02,47985774470.68,6177502225.62
2025-03-03,123429840307.09,20740374475.71
2025-03-04,121856627669.23,18742413176.68
2025-03-05,97691481914.4,14175549744.43
2025-03-06,76869044982.9,9664875063.26
2025-03-07,81528121982.78,13615250134.12
2025-03-08,74047673462.3,10761115505.46
2025-03-09,29626710785.11,4169754072.26
2025-03-10,67506404886.94,11145201786.01
2025-03-11,97729444349.82,16600785512.06
2025-03-12,67360334511.42,12739049785.15
