snapped_at,lhype-usd-max,purr-usd-max,hl-usd-max,usdt0-usd-max,wgc-usd-max,ubtc-usd-max,ush-usd-max,rusdc-hyper-usd-max,usde-usd-max,licko-usd-max,xaut0-usd-max,kitten-usd-max,usdxl-usd-max,sthype-usd-max,kei-usd-max,feusd-usd-max,whlp-usd-max,hfun-usd-max,pip-usd-max,buddy-usd-max,ueth-usd-max,hwhlp-usd-max,liqd-usd-max,whype-usd-max
2024-07-04 00:00:00+00:00,,632561606.2368779,,,18000000000.000004,,,,,,,,,,,,,998761.7549243907,,,,,,
2024-07-05 00:00:00+00:00,,666050709.3267442,,,18105786318.516228,,,,,,,,,,,,,1007715.1095300883,,,,,,
2024-07-06 00:00:00+00:00,,704092979.5621473,,,17987016613.019493,,,,,,,,,,,,,1000028.0554593873,,,,,,
2024-07-07 00:00:00+00:00,,648187636.5993491,,,17966583893.77604,,,,,,,,,,,,,998879.9569591021,,,,,,
2024-07-08 00:00:00+00:00,,695729344.5662229,,,17971293633.970535,,,,,,,,,,,,,1006547.7998959558,,,,,,
2024-07-09 00:00:00+00:00,,626008533.2651595,,,18053668065.31763,,,,,,,,,,,,,999968.3979338993,,,,,,
2024-07-10 00:00:00+00:00,,501936804.1767163,,,17979916845.028214,,,,,,,,,,,,,1000225.1414623954,,,,,,
2024-07-11 00:00:00+00:00,,527743325.3084896,,,18024785130.50659,,,,,,,,,,,,,1000162.1371107482,,,,,,
2024-07-12 00:00:00+00:00,,544903974.2527242,,,18020977506.645657,,,,,,,,,,,,,998835.8705506003,,,,,,
2024-07-13 00:00:00+00:00,,472073728.1107015,,,17981680201.291454,,,,,,,,,,,,,999008.9272087363,,,,,,
2024-07-14 00:00:00+00:00,,457330921.8190539,,,17994600560.643753,,,,,,,,,,,,,1000880.6163643335,,,,,,
2024-07-15 00:00:00+00:00,,423234253.72709805,,,18000000000.0,,,,,,,,,,,,,997229.532818506,,,,,,
2024-07-16 00:00:00+00:00,,418127084.9222046,,,17973815313.2294,,,,,,,,,,,,,998012.4243868901,,,,,,
2024-07-17 00:00:00+00:00,,426783123.7942344,,,17996295387.337845,,,,,,,,,,,,,997995.6659528099,,,,,,
2024-07-18 00:00:00+00:00,,599425043.7135439,,,18010751427.88173,,,,,,,,,,,,,1004107.9942032114,,,,,,
2024-07-19 00:00:00+00:00,,598745208.42677,,,17999999999.999996,,,,,,,,,,,,,997971.0119857,,,,,,
2024-07-20 00:00:00+00:00,,598737922.03491,,,17999999999.999996,,,,,,,,,,,,,1000540.4120701485,,,,,,
2024-07-21 00:00:00+00:00,,598733737.8058,,,17982292244.584873,,,,,,,,,,,,,997947.8786805797,,,,,,
2024-07-22 00:00:00+00:00,,599188627.5226231,,,18313930696.978634,,,,,,,,,,,,,997936.5233097401,,,,,,
2024-07-23 00:00:00+00:00,,598721257.0734003,,,18000000000.0,,,,,,,,,,,,,1015210.8083009893,,,,,,
2024-07-24 00:00:00+00:00,,598855138.6463264,,,18000000000.0,,,,,,,,,,,,,997907.9223197398,,,,,,
2024-07-25 00:00:00+00:00,,598709913.2554903,,,18000000000.0,,,,,,,,,,,,,1003291.3122416772,,,,,,
2024-07-26 00:00:00+00:00,,598702299.32154,,,18000000000.0,,,,,,,,,,,,,997083.4009999911,,,,,,
2024-07-27 00:00:00+00:00,,598678156.5811965,,,17995260078.1983,,,,,,,,,,,,,997880.0816832398,,,,,,
2024-07-28 00:00:00+00:00,,598691008.28781,,,18000000000.0,,,,,,,,,,,,,1004224.1197437175,,,,,,
2024-07-29 00:00:00+00:00,,598687495.4062101,,,18000000000.0,,,,,,,,,,,,,997862.68706838,,,,,,
2024-07-30 00:00:00+00:00,,599576380.6572001,,,17999999999.999996,,,,,,,,,,,,,997850.9469899902,,,,,,
2024-07-31 00:00:00+00:00,,598676283.0274904,,,17999999999.999996,,,,,,,,,,,,,997555.4232225769,,,,,,
2024-08-01 00:00:00+00:00,,598624256.5863308,,,17999915650.515316,,,,,,,,,,,,,1011489.1856258195,,,,,,
2024-08-02 00:00:00+00:00,,598662961.9305705,,,17998305660.82216,,,,,,,,,,,,,997824.6614883599,,,,,,
2024-08-03 00:00:00+00:00,,598773038.2930236,,,17971079965.28368,,,,,,,,,,,,,997812.7085233999,,,,,,
2024-08-04 00:00:00+00:00,,598648398.5909305,,,18000000000.0,,,,,,,,,,,,,999026.4574509683,,,,,,
2024-08-05 00:00:00+00:00,,598758401.7150583,,,18000000000.0,,,,,,,,,,,,,999413.4921346699,,,,,,
2024-08-06 00:00:00+00:00,,598621598.88725,,,18020663251.291374,,,,,,,,,,,,,997779.0845599802,,,,,,
2024-08-07 00:00:00+00:00,,599054094.7271357,,,17994055588.253338,,,,,,,,,,,,,997769.8722394501,,,,,,
2024-08-08 00:00:00+00:00,,599071741.0375391,,,18004818343.381153,,,,,,,,,,,,,997762.6543310499,,,,,,
2024-08-09 00:00:00+00:00,,608098123.119383,,,17954092767.63123,,,,,,,,,,,,,997748.83606453,,,,,,
2024-08-10 00:00:00+00:00,,598598290.0102501,,,17971061296.52834,,,,,,,,,,,,,1000269.259606955,,,,,,
